,rid,id,text,category_first,category_second,polarity,from,to
69,1084394,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD,QUALITY,positive,4,18
70,1084394,1084394:4,I will be going back and heartily recommend it!,RESTAURANT,GENERAL,positive,0,0
71,1086415,1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,,,,
72,1086415,1086415:1,"It is terrific, as is the value.",FOOD,QUALITY,positive,0,0
73,1086415,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD,STYLE_OPTIONS,positive,27,31
74,1086415,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",FOOD,QUALITY,positive,42,48
75,1086415,1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,,,,
76,1086415,1086415:5,Go hungry and enjoy.,RESTAURANT,GENERAL,positive,0,0
77,1086478,1086478:0,"The food here is rather good, but only if you like to wait for it.",FOOD,QUALITY,positive,4,8
78,1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD,QUALITY,positive,11,18
79,1086478,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE,GENERAL,negative,4,11
80,1086478,1086478:3,"The kitchen however, is almost always slow.",SERVICE,GENERAL,negative,4,11
81,1086478,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD,QUALITY,negative,31,35
82,1086478,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE,GENERAL,positive,4,12
83,1090587,1090587:0,Just went here for my girlfriends 23rd bday.,,,,,
84,1090587,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION,GENERAL,positive,80,84
85,1090587,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE,GENERAL,positive,18,25
86,1090587,1090587:3,The lava cake dessert was incredible and I recommend it.,FOOD,QUALITY,positive,4,21
87,1102681,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE,GENERAL,positive,19,26
88,1102681,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE,GENERAL,positive,10,20
89,1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD,QUALITY,positive,4,8
90,1102681,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE,GENERAL,positive,20,28
91,1118167,1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",,,,,
92,1118167,1118167:1,IT WAS HORRIBLE.,RESTAURANT,GENERAL,negative,0,0
93,1118167,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD,QUALITY,negative,4,9
94,1118167,1118167:3,It looked like shredded cheese partly done - still in strips.,FOOD,QUALITY,negative,0,0
95,1118167,1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,,,,,
96,1119578,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT,GENERAL,negative,0,0
97,1119578,1119578:1,The pizza is overpriced and soggy.,FOOD,QUALITY,negative,4,9
98,1119578,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD,QUALITY,positive,20,31
99,1119578,1119578:3,"A big disappointment, all around.",RESTAURANT,GENERAL,negative,0,0
100,1123262,1123262:0,I think I've had some the best meals of my life at minnow.,FOOD,QUALITY,positive,31,36
101,1123262,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD,QUALITY,positive,4,11
102,1123262,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD,QUALITY,positive,31,42
103,1123262,1123262:3,Worth the trip from Manhattan.,RESTAURANT,GENERAL,positive,0,0
104,1125006,1125006:0,Was there Friday night.,,,,,
105,1125006,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,FOOD,QUALITY,positive,5,13
106,1125006,1125006:2,And I've been to many NYC delis.,,,,,
107,1125006,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD,STYLE_OPTIONS,positive,16,28
108,1125006,1125006:4,Price no more than a Jersey deli but way better.,,,,,
109,1125284,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT,GENERAL,positive,105,110
110,1125284,1125284:1,This place is the most Japanese it can ever get.,RESTAURANT,MISCELLANEOUS,positive,5,10
111,1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT,MISCELLANEOUS,positive,4,9
112,1125284,1125284:3,This place is worth an one-hour drive.,RESTAURANT,GENERAL,positive,5,10
113,1125284,1125284:4,"I am so coming back here again, as much as I can.",RESTAURANT,GENERAL,positive,0,0
114,1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT,GENERAL,positive,0,4
115,1126814,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE,GENERAL,positive,89,94
116,1126814,1126814:2,Sit outside in the warm weather; inside for cozy winter.,,,,,
117,1126814,1126814:3,Decent wine at reasonable prices.,DRINKS,QUALITY,neutral,7,11
118,1126814,1126814:4,Have been dozens of times and never failed to enjoy the experience.,RESTAURANT,GENERAL,positive,0,0
119,1126814,1126814:5,"Our teenage kids love it, too.",RESTAURANT,GENERAL,positive,0,0
120,1126886,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT,GENERAL,positive,89,106
121,1126886,1126886:1,This is by far my favorite place in the neighborhood.,RESTAURANT,GENERAL,positive,27,32
122,1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE,GENERAL,positive,4,11
123,1126886,1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,,,,
124,1126886,1126886:4,I'm partial to the Gnocchi.,RESTAURANT,GENERAL,positive,19,26
125,1131595,1131595:0,This place is incredibly tiny.,AMBIENCE,GENERAL,negative,5,10
126,1131595,1131595:1,They refuse to seat parties of 3 or more on weekends.,SERVICE,GENERAL,negative,0,0
127,1131595,1131595:2,The hostess is rude to the point of being offensive.,SERVICE,GENERAL,negative,4,11
128,1131595,1131595:3,The food was bland oily.,FOOD,QUALITY,negative,4,8
129,1131595,1131595:4,I just don't understand all the hype...,RESTAURANT,GENERAL,negative,0,0
130,1138996,1138996:0,We went to Ino for Valentines.,,,,,
131,1138996,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",FOOD,QUALITY,positive,61,65
132,1138996,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE,GENERAL,positive,86,90
133,1138996,1138996:3,As always we had a great glass of wine while we waited.,DRINKS,QUALITY,positive,25,38
134,1138996,1138996:4,"When we sat, we got great and fast service.",SERVICE,GENERAL,positive,35,42
135,1138996,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE,GENERAL,positive,4,10
136,1138996,1138996:6,Make sure you try this place as often as you can.,RESTAURANT,GENERAL,positive,23,28
137,1145510,1145510:0,This is a fun restaurant to go to.,RESTAURANT,GENERAL,positive,14,24
138,1145510,1145510:1,The pizza is yummy and I like the atmoshpere.,FOOD,QUALITY,positive,4,9
139,1145510,1145510:2,But the pizza is way to expensive.,FOOD,PRICES,negative,8,13
140,1145510,1145510:3,"A large is $20, and toppings are about $3 each.",,,,,
141,1147082,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD,QUALITY,negative,17,22
142,1147082,1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD,QUALITY,negative,0,5
143,1147082,1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",,,,,
144,1147082,1147082:3,I don't think I would go again.,RESTAURANT,GENERAL,negative,0,0
145,1147211,1147211:0,This place is great.,RESTAURANT,GENERAL,positive,5,10
146,1147211,1147211:1,I had a huge group for my birthday and we were well taken care of.,SERVICE,GENERAL,positive,0,0
147,1147211,1147211:2,The waitress was very patient with us and the food is phenomenal!,SERVICE,GENERAL,positive,4,12
148,1147211,1147211:3,"Service was prompt, friendly and great.",SERVICE,GENERAL,positive,0,7
149,1147211,1147211:4,Slightly on the pricey side but worth it!,RESTAURANT,PRICES,negative,0,0
150,1153034,1153034:0,Great pizza and fantastic service.,FOOD,QUALITY,positive,6,11
151,1153034,1153034:1,"There was a small wait, but shorter than I expected.",SERVICE,GENERAL,positive,18,22
152,1153034,1153034:2,Located at the end of a magnificent block.,LOCATION,GENERAL,positive,0,0
153,1153034,1153034:3,Very cozy and warm inside.....,AMBIENCE,GENERAL,positive,0,0
154,1153034,1153034:4,I will be back!,RESTAURANT,GENERAL,positive,0,0
155,1154550,1154550:0,This is the best sushi in new york city - hands down.,FOOD,QUALITY,positive,17,22
156,1154550,1154550:1,The place is small and cramped but the food is fantastic.,AMBIENCE,GENERAL,negative,4,9
157,1154550,1154550:2,Get the tuna of gari.,FOOD,QUALITY,positive,8,20
158,1154550,1154550:3,The one on the east side is much better than the one on the west side.,,,,,
159,1162037,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD,QUALITY,positive,75,80
160,1162037,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD,STYLE_OPTIONS,positive,30,34
161,1162037,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE,GENERAL,negative,4,14
162,1162037,1162037:3,It's all about the food !!,FOOD,QUALITY,positive,19,23
163,1167434,1167434:0,I went there with my friend last saturday.,,,,,
164,1167434,1167434:1,first it took us a long time to find the place.,RESTAURANT,MISCELLANEOUS,negative,41,46
165,1167434,1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",,,,,
166,1167434,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD,STYLE_OPTIONS,negative,26,30
167,1167434,1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,,,,,
168,1167434,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD,STYLE_OPTIONS,neutral,6,11
169,1167434,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",FOOD,QUALITY,negative,0,0
170,1175958,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE,GENERAL,positive,0,0
171,1175958,1175958:1,"Try the crunchy tuna, it is to die for.",FOOD,QUALITY,positive,8,20
172,1175958,1175958:2,"Try everything for that matter, it is all good.",FOOD,QUALITY,positive,0,0
173,1175958,1175958:3,I have been going there since it opened and I can't get enough.,RESTAURANT,GENERAL,positive,0,0
174,1189674,1189674:0,First went here to enjoy their garden terrace.,AMBIENCE,GENERAL,positive,31,45
175,1189674,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD,QUALITY,positive,4,8
176,1189674,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD,STYLE_OPTIONS,positive,4,17
177,1189674,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE,GENERAL,positive,71,83
178,1189674,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS,STYLE_OPTIONS,positive,6,20
179,1189674,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE,GENERAL,neutral,0,0
180,1189674,1189674:6,"Have recommended the place to friends, always gets good response.",RESTAURANT,MISCELLANEOUS,positive,21,26
181,1199292,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD,QUALITY,positive,77,82
182,1199292,1199292:1,Veal Parmigana - Better than Patsy's!,,,,,
183,1199292,1199292:2,Much more reasonably priced too!,,,,,
184,1199292,1199292:3,I take all my NYC guests to VT's.,RESTAURANT,MISCELLANEOUS,positive,28,32
185,1199480,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION,GENERAL,positive,74,86
186,1199480,1199480:1,I've been there three times and have always had wonderful experiences.,RESTAURANT,GENERAL,positive,0,0
187,1199480,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE,GENERAL,positive,75,82
188,1205520,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,RESTAURANT,GENERAL,positive,134,138
189,1205520,1205520:1,Even after they overcharged me the last time I was there.,SERVICE,GENERAL,negative,0,0
190,1205520,1205520:2,Make sure you have the Spicy Scallop roll.. .,FOOD,QUALITY,positive,23,41
191,1205520,1205520:3,it's delicious!,FOOD,QUALITY,positive,0,0
192,1212346,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",FOOD,QUALITY,positive,0,6
193,1212346,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE,GENERAL,negative,38,47
194,1212346,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",SERVICE,GENERAL,negative,0,0
195,1212346,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE,GENERAL,negative,0,0
196,1212346,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD,QUALITY,negative,5,12
197,1221938,1221938:0,The drinks are always welll made and wine selection is fairly priced.,DRINKS,QUALITY,positive,4,10
198,1221938,1221938:1,Try their chef's specials-- they are to die for.,FOOD,QUALITY,positive,10,25
199,1221938,1221938:2,"Service is not exactly five star, but thats not really a big deal.",SERVICE,GENERAL,neutral,0,7
200,1221938,1221938:3,Downstairs lounge is always a good attraction,AMBIENCE,GENERAL,positive,0,17
201,1225162,1225162:0,"Raga's is a romantic, cozy restaurant.",AMBIENCE,GENERAL,positive,0,6
202,1225162,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD,STYLE_OPTIONS,positive,4,15
203,1225162,1225162:2,It is also extremely well priced.,FOOD,PRICES,positive,0,0
204,1225162,1225162:3,The staff is incredibly helpful and attentive.,SERVICE,GENERAL,positive,4,9
205,1225162,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,DRINKS,STYLE_OPTIONS,positive,4,7
206,1225162,1225162:5,This is one of my favorite restaurants and it is not to be missed.,RESTAURANT,GENERAL,positive,0,0
207,1225162,1225162:6,Your friends will thank you for introducing them to this gem!,RESTAURANT,GENERAL,positive,0,0
208,1227999,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT,GENERAL,negative,20,24
209,1227999,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE,GENERAL,negative,4,12
210,1227999,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",SERVICE,GENERAL,negative,0,0
211,1227999,1227999:3,Such a disappointment...,SERVICE,GENERAL,negative,0,0
212,1227999,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE,GENERAL,negative,5,12
213,1230993,1230993:0,I had a grat time at Jekyll and Hyde!,RESTAURANT,GENERAL,positive,21,36
214,1230993,1230993:1,I loved everythig about it-especially the shows and actors.,RESTAURANT,GENERAL,positive,0,0
215,1230993,1230993:2,Our server was very helpful and friendly.,SERVICE,GENERAL,positive,4,10
216,1230993,1230993:3,I am bringing my whole family back next time.,RESTAURANT,MISCELLANEOUS,positive,0,0
217,1230993,1230993:4,The food was good too.,FOOD,QUALITY,positive,4,8
218,1232468,1232468:0,The tuna and wasabe potatoes are excellent.,FOOD,QUALITY,positive,4,8
219,1232468,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,LOCATION,GENERAL,positive,4,22
220,1232468,1232468:2,"Inside is a little cramped, but to be expected.",AMBIENCE,GENERAL,neutral,0,0
221,1232468,1232468:3,Service was prompt and courteous.,SERVICE,GENERAL,positive,0,7
222,1232468,1232468:4,This was a repeat visit and we'll definitely be back again.,RESTAURANT,GENERAL,positive,0,0
223,1241906,1241906:0,"Great service, great food.",SERVICE,GENERAL,positive,6,13
224,1241906,1241906:1,Prices are in line.,RESTAURANT,PRICES,neutral,0,0
225,1241906,1241906:2,"Compared to other shabu restaurants around town, this places wins hands-down.",,,,,
226,1241906,1241906:3,But too far east!,LOCATION,GENERAL,negative,0,0
227,1253117,1253117:0,I live a block away and go to Patsy's frequently.,,,,,
228,1253117,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD,QUALITY,positive,4,9
229,1253117,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD,STYLE_OPTIONS,negative,22,41
230,1253117,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD,QUALITY,negative,0,0
231,1253117,1253117:4,So eat fast and order a lot.,,,,,
232,1253117,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,SERVICE,GENERAL,negative,0,10
233,1256373,1256373:0,By far the best salad I have had in a fast food restaurant.,FOOD,QUALITY,positive,16,21
234,1256373,1256373:1,fine dining restaurant quality.,FOOD,QUALITY,positive,5,11
235,1256373,1256373:2,Over 100 different choices to create your own.,FOOD,STYLE_OPTIONS,positive,0,0
236,1256373,1256373:3,A must try!,RESTAURANT,GENERAL,positive,0,0
237,1264954,1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",RESTAURANT,GENERAL,positive,73,83
238,1264954,1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",FOOD,QUALITY,positive,0,0
239,1264954,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD,QUALITY,positive,4,19
240,1264954,1264954:3,"With so many poor experiences to be had in the theater district, is truly an excellent find!",RESTAURANT,GENERAL,positive,0,0
241,1264954,1264954:4,We will return many times for this oasis in mid-town.,RESTAURANT,GENERAL,positive,0,0
242,1269216,1269216:0,I grew up on these bagels.,,,,,
243,1269216,1269216:1,The staff is no nonsense.,SERVICE,GENERAL,positive,4,9
244,1269216,1269216:2,The food options rule.,FOOD,STYLE_OPTIONS,positive,4,8
245,1269216,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,FOOD,QUALITY,positive,56,62
246,1269216,1269216:4,Worth visiting the 1st Ave spot because it is the original store.,RESTAURANT,MISCELLANEOUS,positive,19,31
247,1275154,1275154:0,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. ,,,,,
248,1275154,1275154:1,"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",,,,,
249,1275154,1275154:2,I asked the chef what he recommends and he asked me if I like Uni. (,,,,,
250,1275154,1275154:3,"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.) ",,,,,
251,1275154,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",FOOD,QUALITY,positive,16,29
252,1275154,1275154:5,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",,,,,
253,1275154,1275154:6,The sake menu should not be overlooked!,DRINKS,STYLE_OPTIONS,positive,4,13
254,1275154,1275154:7,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",RESTAURANT,GENERAL,positive,0,0
255,1275154,1275154:8,Try the lobster teriyaki and the rose special roll.,FOOD,QUALITY,positive,8,24
